LotBudget,StepUSD,FreeRollUSD,CashflowUSD,Donchian,TRIX,ProfitUSD,ProfitPct,MaxDD_Pct,ProfitFactor,WinRatePct,Trades,Harvests
0.08,1200,100,400,25,True,936.89,18.7,4.8,5.56,12.0,50,2
0.1,1200,100,400,25,True,959.01,19.2,5.7,5.12,12.0,50,2
0.08,1000,80,400,25,True,989.68,19.8,5.6,4.99,16.3,49,2
0.08,1000,100,400,25,True,989.68,19.8,5.6,4.99,16.3,49,2
0.08,1200,40,400,15,True,919.3,18.4,3.9,4.92,16.1,56,2
0.06,1200,80,300,25,True,713.02,14.3,4.0,4.91,16.0,50,2
0.1,1200,40,400,20,True,950.24,19.0,4.4,4.78,15.4,52,2
0.08,1200,100,300,25,True,776.2,15.5,4.9,4.78,12.0,50,2
0.08,1200,100,250,25,True,742.8,14.9,5.0,4.59,11.8,51,3
0.08,1200,40,400,20,True,888.97,17.8,4.3,4.51,15.4,52,2
0.06,1000,80,300,25,True,757.36,15.1,4.7,4.48,16.3,49,2
0.06,1000,100,300,25,True,757.36,15.1,4.7,4.48,16.3,49,2
0.08,1000,40,400,15,True,986.67,19.7,5.6,4.45,17.9,56,2
0.08,1000,40,400,25,True,967.58,19.4,3.8,4.45,17.6,51,2
0.06,500,60,400,20,True,929.33,18.6,4.2,4.29,17.6,51,2
0.06,750,40,400,15,True,877.76,17.6,4.0,4.28,14.3,56,2
0.08,1200,80,400,25,True,867.07,17.3,6.0,4.27,10.2,49,2
0.06,1000,100,300,20,True,747.78,15.0,5.4,4.25,17.3,52,2
0.06,1200,80,250,25,True,593.39,11.9,4.1,4.25,16.0,50,2
0.08,1200,40,300,15,True,758.61,15.2,4.0,4.23,16.1,56,2
0.06,1200,80,400,25,True,507.19,10.1,5.9,4.16,16.3,49,1
0.08,1200,40,250,15,True,726.57,14.5,4.1,4.09,15.8,57,3
0.06,1200,80,200,25,True,567.03,11.3,4.1,4.08,15.7,51,3
0.1,1000,40,400,15,True,990.59,19.8,6.6,4.07,19.3,57,2
0.08,750,40,400,20,True,1034.63,20.7,6.7,4.05,11.3,53,2
0.08,1200,60,400,20,True,851.52,17.0,4.5,4.03,13.5,52,2
0.08,1200,60,400,15,True,851.3,17.0,4.5,4.01,12.5,56,2
0.06,1000,80,400,25,True,586.33,11.7,6.4,3.99,16.7,48,1
0.06,1000,100,400,25,True,586.33,11.7,6.4,3.99,16.7,48,1
0.08,1200,100,400,15,True,852.83,17.1,5.3,3.93,14.0,57,2
0.06,1200,60,300,25,True,659.74,13.2,4.9,3.92,14.3,49,2
0.08,500,80,400,20,True,1042.14,20.8,5.3,3.91,17.6,51,2
0.08,1200,100,400,20,True,850.27,17.0,5.3,3.91,15.1,53,2
0.08,1200,40,300,20,True,728.27,14.6,4.5,3.87,15.4,52,2
0.1,1000,40,300,15,True,952.15,19.0,4.6,3.86,18.6,59,4
0.1,500,80,250,20,True,1321.59,26.4,3.9,3.85,18.2,55,6
0.1,500,100,250,20,True,1308.56,26.2,4.0,3.82,18.2,55,6
0.06,1200,100,300,25,True,653.34,13.1,5.0,3.81,14.3,49,2
0.1,1200,80,200,15,True,892.48,17.8,5.2,3.79,12.1,58,5
0.06,1000,40,400,15,True,579.97,11.6,6.5,3.77,14.8,54,1
0.06,1000,100,400,20,True,576.75,11.5,6.6,3.77,17.6,51,1
0.08,1200,40,250,20,True,696.24,13.9,4.5,3.74,15.1,53,3
0.08,1000,40,250,15,True,806.94,16.1,4.0,3.73,18.6,59,4
0.08,1000,40,400,20,True,908.73,18.2,5.2,3.72,17.0,53,2
0.06,500,40,400,20,True,895.31,17.9,5.0,3.72,17.3,52,2
0.06,750,40,150,15,True,803.89,16.1,2.4,3.72,15.0,60,6
0.08,1000,40,300,15,True,776.28,15.5,5.8,3.72,19.3,57,2
0.08,1000,60,400,25,True,904.3,18.1,5.5,3.71,16.0,50,2
0.06,750,40,300,15,True,724.04,14.5,4.2,3.71,14.3,56,2
0.06,1000,80,400,15,True,574.06,11.5,6.6,3.71,16.4,55,1
0.06,1000,100,400,15,True,574.06,11.5,6.6,3.71,16.4,55,1
0.08,1000,80,400,20,True,906.1,18.1,6.2,3.7,17.3,52,2
0.08,1000,100,400,20,True,906.1,18.1,6.2,3.7,17.3,52,2
0.06,1200,80,300,15,True,653.33,13.1,4.3,3.68,15.8,57,2
0.06,1200,100,300,15,True,646.47,12.9,5.7,3.68,14.3,56,2
0.08,1000,60,400,20,True,903.2,18.1,5.3,3.67,17.3,52,2
0.06,1000,40,300,25,True,694.91,13.9,5.8,3.67,12.2,49,2
0.06,1200,80,300,20,True,651.84,13.0,4.3,3.67,17.0,53,2
0.08,1200,80,300,25,True,706.37,14.1,6.1,3.66,10.2,49,2
0.06,1200,40,300,20,True,644.19,12.9,3.8,3.66,15.4,52,2
0.06,300,60,400,20,True,1004.4,20.1,4.0,3.65,17.6,51,2
0.1,1200,60,400,15,True,857.94,17.2,5.3,3.64,10.7,56,2
0.1,1200,60,400,20,True,856.98,17.1,5.3,3.64,11.5,52,2
0.06,1200,40,300,15,True,642.71,12.9,3.8,3.63,14.3,56,2
0.06,1200,100,300,20,True,641.73,12.8,5.8,3.63,15.4,52,2
0.08,750,40,400,15,True,1016.97,20.3,6.2,3.61,14.0,57,2
0.08,1000,100,400,15,True,897.08,17.9,7.1,3.6,16.1,56,2
0.1,1200,80,400,15,True,842.46,16.8,8.5,3.55,9.1,55,2
0.1,1200,80,400,20,True,840.49,16.8,8.5,3.54,9.8,51,2
0.1,750,60,400,15,True,948.36,19.0,6.4,3.52,15.5,58,3
0.08,1200,80,250,25,True,672.97,13.5,6.2,3.52,10.0,50,3
0.06,1000,60,300,25,True,697.42,13.9,4.5,3.51,16.0,50,2
0.1,750,60,300,15,True,964.79,19.3,6.2,3.5,15.3,59,4
0.08,1200,40,400,25,True,816.23,16.3,4.8,3.5,12.0,50,2
0.06,750,60,400,15,True,799.98,16.0,3.5,3.5,14.3,56,2
0.06,1000,60,300,20,True,698.2,14.0,5.0,3.5,17.3,52,2
0.06,1000,80,300,20,True,698.2,14.0,5.0,3.5,17.3,52,2
0.08,500,40,400,20,True,1001.23,20.0,6.2,3.49,15.4,52,2
0.1,1200,100,400,15,True,850.58,17.0,6.5,3.48,12.3,57,2
0.1,750,60,250,15,True,998.3,20.0,6.4,3.47,15.0,60,5
0.1,1200,40,400,15,True,855.29,17.1,4.8,3.46,14.3,56,2
0.1,1200,100,400,20,True,846.94,16.9,6.5,3.46,13.2,53,2
0.08,1200,60,300,20,True,690.83,13.8,4.6,3.46,13.5,52,2
0.06,1000,40,300,15,True,697.78,14.0,5.8,3.45,14.5,55,2
0.1,1200,40,400,25,True,852.06,17.0,5.0,3.44,14.0,50,2
0.1,1000,40,250,15,True,812.6,16.3,4.7,3.44,18.6,59,4
0.08,1200,60,300,15,True,690.61,13.8,4.6,3.44,12.5,56,2
0.08,750,80,400,15,True,972.08,19.4,4.6,3.43,14.3,56,2
0.08,500,100,400,20,True,983.98,19.7,6.2,3.42,15.7,51,2
0.06,1000,80,300,15,True,691.88,13.8,5.9,3.41,16.1,56,2
0.06,1000,100,300,15,True,691.88,13.8,5.9,3.41,16.1,56,2
0.06,750,100,400,25,True,772.09,15.4,5.8,3.4,12.2,49,2
0.08,500,40,400,25,True,959.12,19.2,6.3,3.39,16.0,50,2
0.06,1200,60,250,25,True,540.11,10.8,5.0,3.39,14.3,49,2
0.06,500,60,400,25,True,819.32,16.4,3.7,3.38,18.0,50,2
0.08,1200,100,300,15,True,692.14,13.8,5.5,3.38,14.0,57,2
0.06,500,60,300,15,True,691.79,13.8,4.4,3.38,16.4,55,2
0.08,500,40,200,25,True,995.67,19.9,2.8,3.36,17.0,53,6
0.08,500,80,300,20,True,889.28,17.8,4.6,3.36,17.0,53,4
0.08,1200,100,300,20,True,689.57,13.8,5.5,3.36,15.1,53,2
0.1,500,40,250,25,True,1208.17,24.2,3.5,3.35,16.7,54,6
0.06,500,60,300,20,True,677.69,13.6,4.4,3.35,17.6,51,2
0.08,500,60,400,20,True,990.72,19.8,6.4,3.34,17.3,52,2
0.08,1200,60,250,20,True,658.8,13.2,4.7,3.34,13.2,53,3
0.08,750,60,400,15,True,960.14,19.2,4.6,3.33,14.0,57,2
0.08,1200,60,250,15,True,658.57,13.2,4.7,3.33,12.3,57,3
0.08,500,100,200,25,True,977.99,19.6,2.8,3.3,17.3,52,6
0.06,1200,100,250,25,True,533.71,10.7,5.2,3.3,14.3,49,2
0.06,500,80,400,20,True,829.02,16.6,5.9,3.28,13.7,51,2
0.06,500,100,400,20,True,829.02,16.6,5.9,3.28,13.7,51,2
0.06,750,100,400,20,True,760.49,15.2,6.5,3.28,11.5,52,2
0.1,500,60,250,20,True,1239.73,24.8,3.9,3.27,17.9,56,6
0.08,500,100,400,25,True,920.56,18.4,6.6,3.27,16.3,49,2
0.06,750,60,400,25,True,765.76,15.3,4.6,3.27,14.0,50,2
0.08,1200,100,250,15,True,660.11,13.2,5.5,3.27,13.8,58,3
0.06,750,100,400,15,True,779.87,15.6,5.6,3.26,10.9,55,2
0.06,1200,60,200,25,True,513.75,10.3,5.1,3.26,14.0,50,3
0.06,300,80,400,20,True,950.79,19.0,4.6,3.25,15.7,51,2
0.06,300,100,400,20,True,950.79,19.0,4.6,3.25,15.7,51,2
0.08,750,80,400,25,True,937.11,18.7,5.7,3.25,14.0,50,2
0.08,750,100,400,25,True,937.11,18.7,5.7,3.25,14.0,50,2
0.1,1000,60,200,15,True,921.69,18.4,5.1,3.25,15.5,58,5
0.08,1200,100,250,20,True,657.54,13.2,5.6,3.25,14.8,54,3
0.06,750,40,250,15,True,598.31,12.0,4.3,3.24,15.5,58,3
0.06,1200,60,400,25,True,453.91,9.1,6.9,3.23,14.6,48,1
0.08,1200,80,400,20,True,780.44,15.6,6.5,3.22,13.5,52,2
0.08,1200,80,400,15,True,780.22,15.6,6.6,3.21,12.5,56,2
0.06,750,60,400,20,True,759.28,15.2,4.5,3.21,13.5,52,2
0.08,750,80,400,20,True,930.62,18.6,5.6,3.2,13.5,52,2
0.08,750,100,400,20,True,930.62,18.6,5.6,3.2,13.5,52,2
0.06,1000,40,400,25,True,523.88,10.5,7.5,3.2,12.5,48,1
0.06,500,60,400,15,True,843.18,16.9,4.3,3.19,16.4,55,2
0.06,500,60,200,20,True,641.7,12.8,5.2,3.19,18.5,54,4
0.06,750,40,200,15,True,605.36,12.1,3.9,3.19,15.3,59,4
0.06,1200,40,300,25,True,601.33,12.0,6.0,3.19,12.2,49,2
0.06,1200,80,250,15,True,533.7,10.7,4.4,3.19,15.8,57,2
0.06,1200,100,250,15,True,526.84,10.5,5.9,3.19,14.3,56,2
0.06,1200,80,250,20,True,532.21,10.6,4.4,3.18,17.0,53,2
0.06,1200,40,250,20,True,524.56,10.5,3.9,3.17,15.4,52,2
0.06,1200,100,200,25,True,507.35,10.1,5.2,3.17,14.0,50,3
0.1,500,80,300,20,True,962.39,19.2,8.1,3.16,18.5,54,4
0.08,750,60,400,25,True,925.18,18.5,5.9,3.16,13.7,51,2
0.06,500,80,400,25,True,781.85,15.6,6.2,3.16,14.3,49,2
0.06,500,100,400,25,True,781.85,15.6,6.2,3.16,14.3,49,2
0.08,1000,40,200,15,True,636.53,12.7,4.1,3.16,18.6,59,4
0.1,500,40,200,25,True,1105.32,22.1,3.5,3.15,16.7,54,6
0.06,1200,40,250,15,True,523.08,10.5,3.9,3.14,14.3,56,2
0.06,1200,100,250,20,True,522.11,10.4,5.9,3.14,15.4,52,2
0.1,500,80,400,20,True,949.96,19.0,6.6,3.13,17.3,52,3
0.1,500,100,300,20,True,949.37,19.0,8.2,3.13,18.5,54,4
0.06,1200,100,400,25,True,447.51,9.0,7.0,3.13,14.6,48,1
0.08,500,80,250,20,True,781.95,15.6,6.7,3.12,18.5,54,4
0.1,300,80,400,20,True,1256.45,25.1,5.9,3.11,18.5,54,4
0.08,750,60,400,20,True,918.69,18.4,5.8,3.11,13.2,53,2
0.1,500,100,400,20,True,936.93,18.7,6.6,3.1,17.3,52,3
0.06,1200,60,300,20,True,598.55,12.0,5.3,3.08,15.4,52,2
0.06,1200,80,200,15,True,508.71,10.2,4.5,3.08,15.5,58,3
0.06,1200,100,200,15,True,501.86,10.0,5.9,3.08,14.0,57,3
0.06,1200,80,200,20,True,507.22,10.1,4.5,3.07,16.7,54,3
0.1,1000,40,200,15,True,718.19,14.4,4.7,3.06,18.6,59,4
0.06,1200,60,300,15,True,597.07,11.9,5.3,3.06,14.3,56,2
0.06,1000,60,400,25,True,526.39,10.5,7.5,3.06,16.3,49,1
0.06,1200,40,200,20,True,499.58,10.0,3.9,3.06,15.1,53,3
