mode,buffer,sl,step,lock,trades,wr,net,pf,max_dd,min_bal
LIMIT,5.0,15.0,8.0,300.0,57,17.543859649122805,3081.3800000000438,1.7146554723195142,2934.2849999999885,2186.250000000017
LIMIT,5.0,15.0,8.0,500.0,57,10.526315789473683,4265.925000000012,1.9272187837918637,3834.1499999999883,1163.9400000000128
LIMIT,5.0,15.0,8.0,800.0,57,8.771929824561402,3906.865000000008,1.807908763331629,4164.149999999988,833.9400000000132
LIMIT,5.0,15.0,8.0,1000.0,57,8.771929824561402,3906.865000000008,1.807908763331629,4164.149999999988,833.9400000000132
LIMIT,5.0,15.0,10.0,300.0,57,14.035087719298245,4090.1399999999458,1.7961025399473007,3957.6099999999906,1040.4800000000105
LIMIT,5.0,15.0,10.0,500.0,57,12.280701754385964,4489.649999999923,1.8965672178288788,3988.5150000000385,1009.5749999999625
LIMIT,5.0,15.0,10.0,800.0,57,10.526315789473683,4405.339999999921,1.8832142105315706,4072.825000000041,925.2649999999599
LIMIT,5.0,15.0,10.0,1000.0,57,10.526315789473683,4405.339999999921,1.8832142105315706,4072.825000000041,925.2649999999599
LIMIT,5.0,15.0,12.0,300.0,57,15.789473684210526,1497.779999999929,1.3211907677329415,4267.029999999982,731.0600000000195
LIMIT,5.0,15.0,12.0,500.0,57,12.280701754385964,846.2049999998492,1.1631048330748595,4417.470000000053,580.619999999948
LIMIT,5.0,15.0,12.0,800.0,57,8.771929824561402,-218.01500000013743,0.963006954383733,5472.630000000036,-474.5400000000345
LIMIT,5.0,15.0,12.0,1000.0,57,8.771929824561402,-218.01500000013743,0.963006954383733,5472.630000000036,-474.5400000000345
LIMIT,5.0,15.0,15.0,300.0,57,15.789473684210526,292.5249999999087,1.06534170231299,3743.425000000002,1254.664999999999
LIMIT,5.0,15.0,15.0,500.0,57,14.035087719298245,-880.6950000001174,0.8429961573327358,5100.900000000036,-102.81000000003496
LIMIT,5.0,15.0,15.0,800.0,57,8.771929824561402,-2292.970000000101,0.6347936469508773,6023.610000000035,-1025.520000000034
LIMIT,5.0,15.0,15.0,1000.0,57,8.771929824561402,-2518.9700000001367,0.612727413890764,6023.610000000035,-1025.520000000034
LIMIT,5.0,20.0,8.0,300.0,57,17.543859649122805,2564.5150000000413,1.5311132810679868,3385.4949999999894,1669.3850000000143
LIMIT,5.0,20.0,8.0,500.0,57,10.526315789473683,3749.0600000000095,1.7325759529783276,4351.014999999991,647.0750000000098
LIMIT,5.0,20.0,8.0,800.0,57,8.771929824561402,3390.0000000000055,1.6333323369402772,4681.014999999991,317.0750000000098
LIMIT,5.0,20.0,8.0,1000.0,57,8.771929824561402,3390.0000000000055,1.6333323369402772,4681.014999999991,317.0750000000098
LIMIT,5.0,20.0,10.0,300.0,57,14.035087719298245,3423.2749999999432,1.5897551412076938,4624.474999999994,373.61500000000706
LIMIT,5.0,20.0,10.0,500.0,57,12.280701754385964,3822.7849999999207,1.673682012313037,4655.380000000042,342.7099999999591
LIMIT,5.0,20.0,10.0,800.0,57,10.526315789473683,3738.4749999999185,1.661125273333828,4739.690000000045,258.399999999956
LIMIT,5.0,20.0,10.0,1000.0,57,10.526315789473683,3738.4749999999185,1.661125273333828,4739.690000000045,258.399999999956
LIMIT,5.0,20.0,12.0,300.0,57,15.789473684210526,665.9149999999265,1.1211839692815706,5064.83499999998,-66.74499999997897
LIMIT,5.0,20.0,12.0,500.0,57,12.280701754385964,14.339999999846668,1.002382071671428,5215.275000000052,-217.18500000005133
LIMIT,5.0,20.0,12.0,800.0,57,8.771929824561402,-1049.8800000001397,0.8438902824719104,6279.495000000038,-1281.405000000037
LIMIT,5.0,20.0,12.0,1000.0,57,8.771929824561402,-1049.8800000001397,0.8438902824719104,6279.495000000038,-1281.405000000037
LIMIT,5.0,20.0,15.0,300.0,57,15.789473684210526,-619.3400000000939,0.885067219179323,4630.2900000000045,367.79999999999654
LIMIT,5.0,20.0,15.0,500.0,57,14.035087719298245,-1792.5600000001205,0.7251201840137842,5987.765000000038,-989.6750000000366
LIMIT,5.0,20.0,15.0,800.0,57,8.771929824561402,-3204.8350000001037,0.5542912971069024,6910.475000000038,-1912.3850000000366
LIMIT,5.0,20.0,15.0,1000.0,57,8.771929824561402,-3430.835000000139,0.5373895162649422,6910.475000000038,-1912.3850000000366
LIMIT,5.0,25.0,8.0,300.0,57,17.543859649122805,2599.470000000041,1.5422781577975773,3439.339999999989,1704.3400000000142
LIMIT,5.0,25.0,8.0,500.0,57,10.526315789473683,3784.0150000000103,1.7444913466012566,4316.059999999991,682.0300000000097
LIMIT,5.0,25.0,8.0,800.0,57,8.771929824561402,3424.9550000000063,1.6440688006153064,4646.059999999991,352.03000000000975
LIMIT,5.0,25.0,8.0,1000.0,57,8.771929824561402,3424.9550000000063,1.6440688006153064,4646.059999999991,352.03000000000975
LIMIT,5.0,25.0,10.0,300.0,57,14.035087719298245,3358.229999999943,1.5721380363107194,4689.519999999994,308.570000000007
LIMIT,5.0,25.0,10.0,500.0,57,12.280701754385964,3757.7399999999207,1.6547144268412979,4720.425000000042,277.66499999995904
LIMIT,5.0,25.0,10.0,800.0,57,10.526315789473683,3673.4299999999184,1.6422349888806345,4804.735000000045,193.3549999999559
LIMIT,5.0,25.0,10.0,1000.0,57,10.526315789473683,3673.4299999999184,1.6422349888806345,4804.735000000045,193.3549999999559
LIMIT,5.0,25.0,12.0,300.0,57,15.789473684210526,425.86999999992645,1.0742565107617499,5279.879999999981,-281.78999999997995
LIMIT,5.0,25.0,12.0,500.0,57,12.280701754385964,-225.7050000001534,0.9639449745727202,5430.3200000000525,-432.2300000000514
LIMIT,5.0,25.0,12.0,800.0,57,8.771929824561402,-1289.9250000001402,0.814807370520912,6494.540000000038,-1496.450000000037
LIMIT,5.0,25.0,12.0,1000.0,57,8.771929824561402,-1289.9250000001402,0.814807370520912,6494.540000000038,-1496.450000000037
LIMIT,5.0,25.0,15.0,300.0,57,15.789473684210526,-731.0650000000952,0.867089723731175,4717.015000000007,281.07499999999436
LIMIT,5.0,25.0,15.0,500.0,57,14.035087719298245,-1904.2850000001217,0.7129063504686646,6074.49000000004,-1076.4000000000387
LIMIT,5.0,25.0,15.0,800.0,57,8.771929824561402,-3316.5600000001054,0.5458104804749146,6997.20000000004,-1999.1100000000388
LIMIT,5.0,25.0,15.0,1000.0,57,8.771929824561402,-3542.5600000001414,0.5294139526233652,6997.20000000004,-1999.1100000000388
