Dip Step (pts),Target ($),Net Profit ($),Max DD (%),Win Rate (%),Harvests
300,300,-5567.014160156282,56.29082048758819,14.285714285714285,1
300,200,-5616.015625000032,56.77397425811819,14.285714285714285,1
600,300,-5643.015136718745,56.95107904471401,12.5,1
400,300,-5643.015136718786,57.04018907294019,12.5,1
300,100,-5689.013671875032,57.49373399798402,14.285714285714285,1
300,150,-5689.013671875032,57.49373399798402,14.285714285714285,1
600,200,-5692.016601562495,57.435235004155,12.5,1
400,200,-5692.016601562536,57.523342843470196,12.5,1
600,100,-5765.014648437495,58.15648771639085,12.5,1
600,150,-5765.014648437495,58.15648771639085,12.5,1
400,100,-5765.014648437536,58.24310258333602,12.5,1
400,150,-5765.014648437536,58.24310258333602,12.5,1
500,300,-6014.02099609375,60.74475605181915,11.11111111111111,1
500,200,-6063.0224609375,61.22733873837484,11.11111111111111,1
500,100,-6136.0205078125,61.94624772786289,11.11111111111111,1
500,150,-6136.0205078125,61.94624772786289,11.11111111111111,1
