time,open,high,low,close,tick_volume,spread,real_volume
2014-01-14,1253.967,1255.028,1241.646,1243.309,68832,0,0
2014-01-15,1243.3,1243.919,1234.216,1240.926,78349,0,0
2014-01-16,1240.921,1245.04,1236.312,1241.981,72621,0,0
2014-01-17,1241.983,1254.789,1237.708,1253.669,76228,0,0
2014-01-19,1253.814,1260.701,1251.23,1256.148,3730,0,0
2014-01-20,1256.135,1258.051,1251.832,1255.17,30868,0,0
2014-01-21,1255.171,1255.175,1235.572,1242.842,79806,0,0
2014-01-22,1242.821,1243.498,1235.523,1236.97,51658,0,0
2014-01-23,1236.939,1265.188,1231.36,1262.493,101321,0,0
2014-01-24,1262.488,1272.425,1256.864,1269.783,103553,0,0
2014-01-26,1269.189,1278.654,1266.663,1275.328,4026,0,0
2014-01-27,1275.332,1276.315,1251.934,1257.931,92653,0,0
2014-01-28,1257.928,1261.174,1247.776,1252.49,78000,0,0
2014-01-29,1252.474,1269.933,1250.861,1266.592,84614,0,0
2014-01-30,1266.596,1267.48,1237.949,1244.695,86551,0,0
2014-01-31,1244.639,1254.823,1238.433,1243.995,73264,0,0
2014-02-02,1243.734,1243.908,1241.855,1243.555,2134,0,0
2014-02-03,1243.563,1266.152,1240.72,1259.562,86327,0,0
2014-02-04,1259.566,1260.697,1247.24,1252.813,70580,0,0
2014-02-05,1252.81,1274.076,1252.114,1258.916,76845,0,0
2014-02-06,1258.905,1266.872,1252.749,1256.432,63156,0,0
2014-02-07,1256.44,1271.628,1255.152,1267.011,77777,0,0
2014-02-09,1266.683,1269.68,1265.08,1267.262,2215,0,0
2014-02-10,1267.252,1277.743,1264.936,1273.779,69231,0,0
2014-02-11,1273.784,1293.633,1273.624,1286.769,86855,0,0
2014-02-12,1286.767,1296.123,1283.916,1291.676,55848,0,0
2014-02-13,1291.684,1302.732,1286.177,1300.285,84540,0,0
2014-02-14,1300.303,1321.032,1299.777,1318.291,90615,0,0
2014-02-16,1318.293,1324.007,1318.293,1323.363,3558,0,0
2014-02-17,1323.359,1339.823,1320.987,1328.289,43582,0,0
2014-02-18,1328.268,1329.02,1312.541,1320.415,88976,0,0
2014-02-19,1320.437,1322.206,1308.815,1311.737,60314,0,0
2014-02-20,1311.715,1324.834,1306.939,1320.551,104572,0,0
2014-02-21,1320.561,1328.311,1316.005,1323.959,83443,0,0
2014-02-23,1323.031,1325.576,1323.007,1323.905,1530,0,0
2014-02-24,1324.038,1338.832,1318.703,1335.491,99135,0,0
2014-02-25,1335.542,1343.487,1331.148,1340.904,87395,0,0
2014-02-26,1340.941,1345.266,1322.214,1330.558,103318,0,0
2014-02-27,1330.563,1336.036,1323.788,1331.258,83789,0,0
2014-02-28,1331.246,1333.156,1319.586,1326.199,100594,0,0
2014-03-02,1326.025,1338.095,1326.025,1338.095,5236,0,0
2014-03-03,1338.101,1354.593,1336.105,1350.413,119256,0,0
2014-03-04,1350.43,1352.365,1331.18,1336.15,112589,0,0
2014-03-05,1336.129,1341.61,1332.572,1335.862,80089,0,0
2014-03-06,1335.869,1353.407,1331.099,1349.627,101338,0,0
2014-03-07,1349.629,1352.846,1328.279,1339.152,116765,0,0
2014-03-09,1339.605,1341.368,1336.333,1338.105,4772,0,0
2014-03-10,1338.113,1344.507,1328.011,1340.294,100710,0,0
2014-03-11,1340.311,1352.423,1337.629,1347.481,87965,0,0
2014-03-12,1347.427,1370.711,1345.316,1366.127,117213,0,0
2014-03-13,1366.146,1374.859,1364.405,1373.183,111322,0,0
2014-03-14,1373.192,1387.789,1367.757,1382.254,97382,0,0
2014-03-16,1382.194,1391.931,1381.943,1386.463,5660,0,0
2014-03-17,1386.473,1388.324,1361.867,1366.322,111849,0,0
2014-03-18,1366.319,1367.395,1350.632,1356.051,105258,0,0
2014-03-19,1356.009,1359.511,1325.66,1328.228,122867,0,0
2014-03-20,1328.175,1334.518,1320.384,1330.885,117794,0,0
2014-03-21,1330.88,1342.306,1329.072,1333.495,88186,0,0
2014-03-23,1333.981,1334.629,1329.409,1332.178,3812,0,0
2014-03-24,1332.178,1334.054,1307.861,1311.184,103998,0,0
2014-03-25,1311.207,1317.218,1305.237,1309.683,107846,0,0
2014-03-26,1309.683,1316.188,1298.573,1306.216,80369,0,0
2014-03-27,1306.201,1306.631,1288.995,1293.051,112100,0,0
2014-03-28,1293.049,1298.599,1285.657,1294.133,97380,0,0
2014-03-30,1293.855,1297.763,1292.333,1295.929,3551,0,0
2014-03-31,1295.907,1298.402,1282.36,1284.364,96721,0,0
2014-04-01,1284.351,1287.851,1277.614,1281.063,93367,0,0
2014-04-02,1281.045,1294.371,1280.391,1290.696,91814,0,0
2014-04-03,1290.69,1293.793,1281.538,1284.888,84599,0,0
2014-04-04,1284.882,1306.564,1284.122,1302.55,91097,0,0
